2,"t","Milk Production, Disposition, and Income 2018 Summary: Released May 30, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Milk Used and Marketed by Producers – United States: 2017-2018"
2,"h","","","","","",""
2,"h","","Milk used where produced","Milk used where produced","Milk used where produced","Milk marketed by producers","Milk marketed by producers"
2,"h","","","","","",""
2,"h","","","","","",""
2,"h","Year","Fed to","Milk,","","","Fluid"
2,"h","","calves 1/","cream, and","Total","Total 2/","grade 3/"
2,"h","","","butter","","",""
2,"h","","","","","",""
2,"u","","(million pounds)","(million pounds)","(million pounds)","(million pounds)","(percent)"
2,"d","2017",901,91,992,214535,99
2,"d","2018",929,89,1018,216556,99
2,"c",""
2,"f","1/ Excludes milk sucked by calves."
2,"f","2/ Milk sold to plants and dealers as whole milk and equivalent amounts of milk for cream. Includes milk produced by dealers' own herds and milk sold directly to consumers. Also includes milk produced by institutional herds."
2,"f","3/ Percentage of milk sold that is eligible for fluid use (Grade A in most States). Includes fluid grade milk used in manufacturing dairy products."
